Update,PUBLICATION,,PRICE,DA,DR,GENRE,TAT,SPONSORED,INDEXED,DOFOLLOW,REGION / LOCATION,EROTIC,HEALTH,CBD,CRYPTO,GAMBLING
,Minnesota Lawyer,,"$1,500",54,65,Legal,3-5 Days,N,Y,N,MINNESOTA,,,,Y,
,Missouri Lawyers,,"$1,500",46,58,Legal,3-5 Days,N,Y,N,MISSOURI,,,,Y,
,New Jersey Business,,"$1,500",60,76,News,3-5 Days,N,Y,N,NEW JERSEY,,,,Y,
,Long Island Business News,,"$1,500",59,72,News,3-5 Days,N,Y,N,NEW YORK,,,,Y,
,New York Daily Record,,"$1,500",47,53,News,3-5 Days,N,Y,N,NEW YORK,,,,Y,
,Rhode Island Lawyers Weekly,,"$1,500",34,40,Legal,3-5 Days,N,Y,N,NEW YORK,,,,Y,
,Rochester Business Journal,,"$1,500",56,70,News,3-5 Days,N,Y,N,NEW YORK,,,,Y,
,North Carolina Lawyers,,"$1,500",46,53,News,3-5 Days,N,Y,N,NORTH CAROLINA,,,,Y,
,Mecklenburg Times,,"$1,500",43,43,News,3-5 Days,N,Y,N,NORTH CAROLINA,,,,Y,
,The Journal Record,,"$1,500",58,72,News,3-5 Days,N,Y,N,OKLAHOMA,,,,Y,
,DJC Oregon,,"$1,500",51,66,News,3-5 Days,N,Y,N,OREGON,,,,Y,
,Central Penn Business Journal,,"$1,500",57,69,News,3-5 Days,N,Y,N,PENNSYLVANIA,,,,Y,
,Lehigh Valley Business,,"$1,500",51,65,News,3-5 Days,N,Y,N,PENNSYLVANIA,,,,Y,
,GSA Business Report,,"$1,500",48,59,Business,3-5 Days,N,Y,N,SOUTH CAROLINA,,,,Y,
,SC Biz News,,"$1,500",37,54,News,3-5 Days,N,Y,N,SOUTH CAROLINA,,,,Y,
,Columbia Business Report,,"$1,500",42,58,News,3-5 Days,N,Y,N,SOUTH CAROLINA,,,,Y,
,South Carolina Lawyers Weekly,,"$1,500",34,38,Legal,3-5 Days,N,Y,N,SOUTH CAROLINA,,,,Y,
,Charleston Business,,"$1,500",51,66,Business,3-5 Days,N,Y,N,SOUTH CAROLINA,,,,Y,
,Home Textiles Today,,"$1,500",47,68,Lifestyle,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Business of Law Digest,,"$1,500",14,17,Legal,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Finance & Commerce,,"$1,500",60,58,News,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Virginia Lawyers Weekly,,"$1,500",48,62,Legal,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Gifts & Decorations,,"$1,500",52,64,Lifestyle,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Designers Today,,"$1,500",31,59,News,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Home Furnishings News,,"$1,500",46,58,Lifestyle,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Pet Age,,"$1,500",49,69,Entertainment,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Furniture Today,,"$1,500",69,76,Lifestyle,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Home Accents Today,,"$1,500",53,64,Lifestyle,3-5 Days,N,Y,N,UNITED STATES,,,,Y,
,Virginia Business,,"$1,500",58,73,News,3-5 Days,N,Y,N,VIRIGINA,,,,Y,
,DailyReporter.com,,"$1,500",51,60,News,3-5 Days,N,Y,N,WISCONSIN,,,,Y,
,Wisconsin Law Journal,,"$1,500",53,56,Legal,3-5 Days,N,Y,N,WISCONSIN,,,,Y,
Raised,The Street,,"$1,500",87,87,News,1 Week,N,Y,Y,UNITED STATES,,,,Y,
,The Denver Gazette,,"$1,500",62,73,News,1 Week,N,Y,N,COLORADO,,Y,,Y,Y
,The Gazette,,"$1,500",77,80,News,1 Week,N,Y,N,COLORADO,,Y,,Y,Y
,Jimboomba Times,,"$1,500",39,39,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Goulburn Post,,"$1,500",49,56,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Mudgee Guardian,,"$1,500",44,47,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Busselton Mail,,"$1,500",49,57,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,North Queen Land Register,,"$1,500",48,52,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Margaret River Mail,,"$1,500",41,39,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Macleay Argus,,"$1,500",51,54,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Katherine Times,,"$1,500",46,50,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Mail Times,,"$1,500",46,46,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Stock Journal,,"$1,500",46,46,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Redland City Bulletin,,"$1,500",48,59,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Bunbury Mail,,"$1,500",53,50,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Stock and Land,,"$1,500",48,60,News,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Port Stephens Examiner,,"$1,500",42,48,Lifestyle,1 Week,N,Y,Y,AUSTRALIA,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost,1.25x Cost
,Radar Online,,"$1,500",81,78,News,1 Week,N,Y,Y,UNITED STATES,,Y,Y,Y,Y
,Whittier Daily News,,"$1,500",68,69,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Excelsior California,,"$1,500",49,44,News,1-2 Weeks,N,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Readwrite.com,,"$1,500",87,84,Tech,1-2 Weeks,Discrete,Y,Y,UNITED STATES,,,,,
,The San Bernardino Sun,,"$1,500",79,74,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Pasadena Star News,,"$1,500",75,73,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,OC Register,,"$1,500",89,85,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Press Telegram,,"$1,500",79,76,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Redlands Daily Facts,,"$1,500",68,66,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Denver Post,,"$1,500",67,73,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,San Gabriel Valley Tribune,,"$1,500",73,73,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Daily Breeze,,"$1,500",74,76,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,San Diego Union Tribune,,"$1,500",86,87,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Daily Bulletin,,"$1,500",73,72,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Silicon Valley,,"$1,500",67,73,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Los Angeles Daily News,,"$1,500",82,81,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Press Enterprise,,"$1,500",60,70,News,1-2 Weeks,Discrete,N,N,CALIFORNIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Daily Press,,"$1,500",78,77,News,3-5 Days,Discreet,N,N,NEW YORK,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,The Morning Call,,"$1,500",81,80,News,3-5 Days,Discreet,N,N,PENNSYLVANIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Pilot Online,,"$1,500",75,81,News,3-5 Days,Discreet,N,N,VIRGINIA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Hartford Courant,,"$1,500",83,83,News,3-5 Days,Discreet,N,N,CONNECTICUT,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Sun Sentinel,,"$1,500",88,85,News,3-5 Days,Discreet,N,N,FLORIDA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Orlando Sentinel,,"$1,500",87,85,News,3-5 Days,Discreet,N,N,FLORIDA,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Baltimore Sun,,"$1,500",90,87,News,3-5 Days,Discreet,N,N,MARYLAND,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,NY Daily News,,"$1,500",93,89,News,3-5 Days,Discreet,N,N,NEW YORK,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Chicago Tribune,,"$1,500",92,91,News,3-5 Days,Discreet,N,N,ILLINOIS,,x2 Cost,x2 Cost,x2 Cost,x2 Cost
,Barchart (Press Release),,"$1,500",62,79,News,3-5 Days,N,Y,N,UNITED STATES,,,,,
,DevX,,"$1,500",60,73,News,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Mercury News,,"$1,500",91,88,News,3-5 Days,Y,N,N,CALIFORNIA,,Y,Y,Y,
,East Bay Times,,"$1,500",79,79,News,3 Days,N,N,N,CALIFORNIA,,Y,Y,Y,Y
,Fast Company (Mexico),,"$1,500",14,4.6,Business,1 Week,N,Y,Y,MEXICO,,,,,
,Bradenton Herald (Press Release),,"$1,500",76,74,News,3-5 Days,Discrete,Maybe,N,FLORIDA,,,,Y,
,San Clemente Times,,"$1,500",58,52,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,Y,Y,Y
,The Olympian (Press Release),,"$1,500",71,74,News,1 Week,Discrete,Maybe,N,WASHINGTON STATE,,,,Y,
,Belleville News-Democrat (Press Release),,"$1,500",72,73,News,3-5 Days,Discrete,Maybe,N,ILLINOIS,,,,Y,
,Kansas.com (Press Release),,"$1,500",80,78,News,3-5 Days,Discrete,Maybe,N,KANSAS,,,,Y,
,Charlotte Observer (Press Release),,"$1,500",86,82,News,3-5 Days,Discrete,Maybe,N,CALIFORNIA,,,,Y,
,The Sacramento Bee (Press Release),,"$1,500",85,85,News,3-5 Days,Discrete,Maybe,N,ARIZONA,,,,Y,
,Phoenix.org,,"$1,500",51,56,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,Y,Y,Y
,The Modesto Bee (Press Release),,"$1,500",76,75,News,3-5 Days,Discrete,Maybe,N,CALIFORNIA,,,,Y,
,Centre Daily Times (Press Release),,"$1,500",73,74,News,3-5 Days,Discrete,Maybe,N,PENNSYLVANIA,,,,Y,
,Myrtle Beach Sun News (Press Release),,"$1,500",72,73,News,3-5 Days,Discrete,Maybe,N,SOUTH CAROLINA,,,,Y,
,The Herald Sun (Press Release),,"$1,500",76,72,News,3-5 Days,Discrete,Maybe,N,NORTH CAROLINA,,,,Y,
,Ledger Enquirer (Press Release),,"$1,500",75,73,News,3-5 Days,Discrete,Maybe,N,GEORGIA,,,,Y,
,Dana Point Times ,,"$1,500",58,52,News,1-3 Days,N,Y,Y,CALIFORNIA,Y,Y,Y,Y,Y
,The Island Packet (Press Release),,"$1,500",77,73,News,3-5 Days,Discrete,Maybe,N,SOUTH CAROLINA,,,,Y,
,Idaho Statesman (Press Release),,"$1,500",76,78,News,3-5 Days,Discrete,Maybe,N,IDAHO,,,,Y,
,Merced Sun Star (Press Release),,"$1,500",66,71,News,3-5 Days,Discrete,Maybe,N,CALIFORNIA,,,,Y,
,The Herald (Press Release),,"$1,500",71,73,News,3-5 Days,Discrete,Maybe,N,SOUTH CAROLINA,,,,Y,
,The Bellingham Herald (Press Release),,"$1,500",68,73,News,3-5 Days,Discrete,Maybe,N,WASHINGTON STATE,,,,Y,
,Fort Worth Star-Telegram (Press Release),,"$1,500",83,81,News,3-5 Days,Discrete,Y,N,TEXAS,,,,,
,Kansas City Star (Press Release),,"$1,500",94,83,News,3-5 Days,Discrete,Maybe,N,KANSAS,,,,Y,
,The News Tribune (Press Release),,"$1,500",76,78,News,3-5 Days,Discrete,Maybe,N,WASHINGTON STATE,,,,Y,
,The Fresno Bee (Press Release),,"$1,500",77,78,News,3-5 Days,Discrete,Maybe,N,CALIFORNIA,,,,Y,
,Lexington Herald-Leader (Press Release),,"$1,500",85,79,News,3-5 Days,Discrete,Maybe,N,KENTUCKY,,,,Y,
,Tri-City Herald (Press Release),,"$1,500",67,74,News,3-5 Days,Discrete,Maybe,N,WASHINGTON STATE,,,,Y,
,The News & Observer (Press Release),,"$1,500",82,83,News,3-5 Days,Discrete,Maybe,N,SOUTH CAROLINA,,,,Y,
,San Luis Obispo Tribune (Press Release),,"$1,500",76,75,News,3-5 Days,Discrete,Maybe,N,CALIFORNIA,,,,Y,
,Miami Herald (Press Release),,"$1,500",90,87,News,1 Week,Discrete,Maybe,N,FLORIDA,,,,,
,The State (Press Release),,"$1,500",80,79,News,3-5 Days,Discrete,Maybe,N,SOUTH CAROLINA,,,,Y,
,CoinCodex,,"$1,500",54,76,Crypto,3-5 Days,Discreet,Y,N,GLOBAL,,,,Y,Y
,Wonderwall.com,,"$1,500",78,59,Lifestyle,1 Week,N,Y,Y,UNITED STATES,,Y,Y,Y,Y
,Spin.com,,"$1,500",85,79,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,L'Officiel Monaco,,"$1,500",37,50,Fashion,1-3 Days,N,Y,Y,GLOBAL,,,,,
,Coingape (Press Release),,"$1,500",57,75,Crypto,3 Days,Discreet,Y,N,GLOBAL,,,,Y,
,Coin Edition,,"$1,500",34,58,Crypto,3-5 Days,Discreet,Y,N,GLOBAL,,,,,
,Crypto Potato (Press Release),,"$1,500",60,78,Crypto,1-2 Weeks,Discreet,Y,N,GLOBAL,,,,Y,
,Elle (Ukraine),,"$1,500",57,63,Fashion,1-2 Weeks,N,Y,N,UKRAINE,,,,,
,L'Officiel Austria,,"$1,500",38,53,Fashion,1 Week,N,Y,Y,GLOBAL,,,,,
,KNewz,,"$1,500",55,54,News,1 Week,N,Y,Y,GLOBAL,,Y,Y,Y,Y
,Harper's Bazaar Vietnam,,"$1,500",43,67,Lifestyle,1 Week,N,Y,Y,GLOBAL,,,,,
,IB Times (AU),,"$1,500",70,71,News,3-5 Days,Y,Y,N,AUSTRALIA,,Y,,Y,
,Hollywood Life,,"$1,500",90,80,Lifestyle,1-3 Days,N,Y,Y,CALIFORNIA,,Y,Y,,
,Daily Sundial,,"$1,500",82,82,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,Readwrite.com (Syndicates to Apple News),,"$1,500",87,84,News,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
,Technori,,"$1,500",52,54,Tech,1-3 Days,N,Y,Y,UNITED STATES,,,,Y,
,Adviser Innovation,,"$1,500",30,34,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Money Management,,"$1,500",51,71,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Lawyers Weekly,,"$1,500",54,72,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Accounting Times,,"$1,500",35,44,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Property Buzz,,"$1,500",23,31,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Super Review,,"$1,500",39,48,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,IFA,,"$1,500",41,63,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,HR Leader,,"$1,500",32,51,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Space Connect Online,,"$1,500",34,50,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Residential Property Management,,"$1,500",40,69,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Nestegg,,"$1,500",36,51,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Wellness Daily,,"$1,500",28,41,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,The Adviser,,"$1,500",39,48,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Investor Daily,,"$1,500",49,66,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Fintech Business,,"$1,500",50,66,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Australian Aviation,,"$1,500",68,66,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Cyber Daily,,"$1,500",56,69,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Real Estate Business,,"$1,500",40,69,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Accountant Daily,,"$1,500",43,70,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Defence Connect,,"$1,500",50,66,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,World of Aviation,,"$1,500",34,36,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,SMSF Adviser,,"$1,500",38,57,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Broker Daily,,"$1,500",37,56,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
,Smart Property Investment,,"$1,500",45,62,News,3-5 Days,N,Y,Y,AUSTRALIA,Y,Y,Y,Y,
Lowered,Calendar.com ,,"$1,500",59,77,News,1 Week,N,Y,Y,UNITED STATES,,,,,
New,Republican Herald,,"$1,500",59,67,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Loveland Reporter Herald,,"$1,500",64,72,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,WC Examiner,,"$1,500",69,74,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The Reporter Online,,"$1,500",64,70,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Mainline Media News,,"$1,500",59,63,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,EP Trail,,"$1,500",53,57,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Saratogian,,"$1,500",65,71,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The Voice News,,"$1,500",53,55,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Inventor Spot,,"$1,500",66,65,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
New,Lowell Sun,,"$1,500",69,75,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Colorado Hometown Weekly,,"$1,500",43,51,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Twin Cities,,"$1,500",59,74,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Royal Oak Tribune,,"$1,500",60,66,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Focus Magazine (Netherlands),,"$1,500",30,45,News,1-2 Weeks,Y,Y,Y,UNITED STATES,,,,Y,Y
New,Nashoba Valley Voice,,"$1,500",41,52,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Julesburg Advocate,,"$1,500",37,30,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Macomb Daily,,"$1,500",66,72,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Longmont Times-Call,,"$1,500",70,72,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Sentineland Enterprise,,"$1,500",70,71,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Potts Merc,,"$1,500",62,71,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Press & Guide,,"$1,500",58,60,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Troy Record,,"$1,500",63,70,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The Morning Sun,,"$1,500",61,70,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Boston Herald,,"$1,500",85,83,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Times Herald,,"$1,500",61,70,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The Times Tribune,,"$1,500",69,74,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Reading Eagle,,"$1,500",74,76,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Trentonian,,"$1,500",64,71,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Morning Journal,,"$1,500",62,71,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Canon City Daily Record,,"$1,500",57,65,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The Fort Morgan Times,,"$1,500",43,63,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Mindset Online,,"$1,500",59,71,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
New,Burlington Record,,"$1,500",35,38,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Broomfield Enterprise,,"$1,500",54,57,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Standard Speaker,,"$1,500",58,62,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Delco Times,,"$1,500",68,74,News,1-2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Oneida Dispatch,,"$1,500",66,73,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Daily Freeman,,"$1,500",66,73,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Daily Local,,"$1,500",63,73,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Lamar Ledger,,"$1,500",49,39,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The News Herald,,"$1,500",62,67,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Akron News Reporter,,"$1,500",43,28,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,News-Herald Ohio News,,"$1,500",67,73,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Citizens Voice,,"$1,500",64,72,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,The Oakland Press,,"$1,500",70,75,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
New,Boulder Daily Camera,,"$1,500",77,78,News,2 Weeks,Discreet,N,N,UNITED STATES,,,,,
,Flaunt Magazine,,"$1,400",68,75,Music,1-2 Weeks,N,Y,Y,LOS ANGELES,,,,,
,Magic Valley,,"$1,300",68,72,News,1 Week,N,Y,Y,IDAHO,,,,,
,The Defiant,,"$1,300",52,75,News,3-5 Days,N,Y,Y,UNITED STATES,,,,,
,SweetyHigh.com,,"$1,300",60,71,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,C-Heads Magazine,,"$1,300",48,66,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,FXStreet,,"$1,300",79,79,Crypto,3-5 Days,Discreet,Y,N,GLOBAL,,,,Y,
,Daily Caller,,"$1,300",88,82,News,1-3 Days,N,Y,Y,WASHINGTON,,Y,Y,Y,
No longer on Hold,Crypto News,,"$1,300",61,81,Crypto,1 Week,Discreet,Y,Y,GLOBAL,,,,Y,
,Tech Times,,"$1,300",82,84,Technology ,1 Week,N,Y,Y,GLOBAL,,Y,,Y,
,IB Times (UAE),,"$1,300",12,14,News,1-2 Weeks,Y,Y,N,UAE,,Y,,Y,
,IB Times (JP),,"$1,300",45,31,News,3-5 Days,Y,Y,N,JAPAN,,Y,,Y,
,Univision,,"$1,300",87,83,News,3 Weeks,N,Y,Y,UNITED STATES,,,,,
,My Aggie Nation,,"$1,300",41,32,News,1 Week,N,Y,Y,TEXAS,,,,Y,
,Wahoo Ashland Wavely,,"$1,300",40,43,News,1 Week,N,Y,Y,NEBRASKA,,,,Y,
,Franklin News Post,,"$1,300",46,45,News,1 Week,N,Y,Y,VIRGINIA,,,,Y,
,The News Virginian,,"$1,300",48,47,News,1 Week,N,Y,Y,VIRGINIA,,,,Y,
,The Muscatine Journal,,"$1,300",59,55,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,SWVA Today,,"$1,300",53,56,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,Lake Geneva Regional,,"$1,300",49,57,News,1 Week,N,Y,Y,WISCONSIN,,,,Y,
,Culpeper Star-Exponent,,"$1,300",55,62,News,1 Week,N,Y,Y,VIRGINIA,,,,Y,
,The Morganton News Herald,,"$1,300",58,62,News,1 Week,N,Y,Y,NOTH CAROLINA,,Y,Y,Y,
,The North Platte Telegraph,,"$1,300",58,62,News,1 Week,N,Y,Y,NEBRASKA,,Y,Y,Y,
,Ravali Republic,,"$1,300",56,64,News,1-3 Day,N,Y,Y,MONTANA,,,,Y,
,Martinsville Bulletin,,"$1,300",57,64,News,1 Week,N,Y,Y,VIRGINIA,,,,Y,
,Opelika Auburn News,,"$1,300",71,67,News,1 Week,N,Y,Y,ALABAMA,,,,Y,
,Globe Gazzette,,"$1,300",75,70,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,The Eagle,,"$1,300",72,72,News,1 Week,N,Y,Y,TEXAS,,Y,Y,Y,
,Kenosha News,,"$1,300",69,72,News,1 Week,N,Y,Y,WISCONSIN,,Y,Y,Y,
,Independent Record,,"$1,300",70,73,News,1 Week,N,Y,Y,MONTANA,,Y,Y,Y,
,Waterloo-Cedar Falls Courier,,"$1,300",75,73,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,Waco Tribune-Herald,,"$1,300",72,74,News,1 Week,N,Y,Y,TEXAS,,Y,Y,Y,
,Rapid City Journal,,"$1,300",72,74,News,1 Week,N,Y,Y,SOUTH DAKOTA,,Y,Y,Y,
,Sioux City Journal,,"$1,300",73,74,News,1 Week,N,Y,Y,IOWA,,Y,Y,Y,
,The Daily Progress,,"$1,300",70,76,News,1 Week,N,Y,Y,VIRGINIA,,Y,Y,Y,
,News & Record,,"$1,300",76,76,News,1 Week,N,Y,Y,NORTH CAROLINA,,Y,Y,Y,
,Billings Gazette,,"$1,300",73,77,News,1 Week,N,Y,Y,MONTANA,,Y,Y,Y,
,The Press of Atlantic City,,"$1,300",73,77,News,1 Week,N,Y,Y,NEW JERSEY,,Y,Y,Y,
,Winston-Salem Journal,,"$1,300",73,77,News,1 Week,N,Y,Y,NORTH CAROLINA,,Y,Y,Y,
,Missoulian,,"$1,300",76,77,News,1 Week,N,Y,Y,MONTANA,,Y,Y,Y,
